SecteurActivité,TrancheEffectifs,Generation,Nombre d'entreprises actives,Nombre d'entreprises saines,Nombre de défaillances 3 mois,Nombre de défaillances 6 mois,Tauxdedéfaillances3mois,Taux de défaillances 6 mois,Nombre de créations dans les 3 mois,Code NACE,Score sectoriel,Classification,coronavirus,Valeur ajaoutée
"Activités spécialisées, scientifiques et techniques",50 - 200 salariés,2016-12-31,2265,2265,0,1,0.0,0.0004415011037527594,12,M69-75,4.8,PME,0,156514.0
"Activités spécialisées, scientifiques et techniques",3 - 10 salariés,2016-12-31,30828,30828,23,36,0.0007460749967561957,0.0011677695601401323,712,M69-75,4.8,TPE,0,156514.0
"Activités spécialisées, scientifiques et techniques",Moins de 2 salariés,2016-12-31,567290,567290,594,1151,0.0010470835022651553,0.002028944631493592,27068,M69-75,4.8,TPE,0,156514.0
"Agriculture, sylviculture et pêche",10 - 50 salariés,2016-12-31,3432,3432,6,7,0.0017482517482517483,0.0020396270396270395,24,A01-03,5.9,PME,0,32107.0
"Agriculture, sylviculture et pêche",Plus de 200 salariés,2016-12-31,30,30,0,0,0.0,0.0,0,A01-03,5.9,GE,0,32107.0
"Agriculture, sylviculture et pêche",50 - 200 salariés,2016-12-31,259,259,0,0,0.0,0.0,0,A01-03,5.9,PME,0,32107.0
"Agriculture, sylviculture et pêche",3 - 10 salariés,2016-12-31,17996,17996,22,28,0.0012224938875305623,0.001555901311402534,177,A01-03,5.9,TPE,0,32107.0
"Agriculture, sylviculture et pêche",Moins de 2 salariés,2016-12-31,792356,792356,225,464,0.0002839632690356355,0.000585595363700155,9683,A01-03,5.9,TPE,0,32107.0
Commerce ; réparation d'automobiles et de motocycles,10 - 50 salariés,2016-12-31,33462,33462,17,29,0.0005080389695774311,0.0008666547128085589,335,G45-47,6.3,PME,0,207996.0
Commerce ; réparation d'automobiles et de motocycles,Plus de 200 salariés,2016-12-31,1496,1496,0,0,0.0,0.0,3,G45-47,6.3,GE,0,207996.0
Commerce ; réparation d'automobiles et de motocycles,50 - 200 salariés,2016-12-31,5500,5500,1,3,0.0001818181818181818,0.0005454545454545455,18,G45-47,6.3,PME,0,207996.0
Commerce ; réparation d'automobiles et de motocycles,3 - 10 salariés,2016-12-31,81384,81384,85,145,0.0010444313378551067,0.0017816769881057702,1857,G45-47,6.3,TPE,0,207996.0
Commerce ; réparation d'automobiles et de motocycles,Moins de 2 salariés,2016-12-31,1005382,1005382,2196,3965,0.002184244396657191,0.003943774605075483,33740,G45-47,6.3,TPE,0,207996.0
Construction,10 - 50 salariés,2016-12-31,22929,22929,26,52,0.0011339351912425313,0.0022678703824850627,295,F41-43,5.3,PME,0,108362.0
Construction,Plus de 200 salariés,2016-12-31,458,458,0,0,0.0,0.0,0,F41-43,5.3,GE,0,108362.0
Construction,50 - 200 salariés,2016-12-31,2127,2127,0,2,0.0,0.0009402914903620122,11,F41-43,5.3,PME,0,108362.0
Construction,3 - 10 salariés,2016-12-31,48464,48464,86,153,0.001774513040607461,0.0031569825024760647,1619,F41-43,5.3,TPE,0,108362.0
Construction,Moins de 2 salariés,2016-12-31,706536,706536,2277,4140,0.0032227657189442577,0.005859574034444105,17737,F41-43,5.3,TPE,0,108362.0
Hébergement et restauration,10 - 50 salariés,2016-12-31,13661,13661,18,35,0.0013176195007686114,0.0025620379181611887,380,I55-56,5.0,PME,0,54502.0
Hébergement et restauration,Plus de 200 salariés,2016-12-31,177,177,0,0,0.0,0.0,0,I55-56,5.0,GE,0,54502.0
Hébergement et restauration,50 - 200 salariés,2016-12-31,1422,1422,0,0,0.0,0.0,18,I55-56,5.0,PME,0,54502.0
Hébergement et restauration,3 - 10 salariés,2016-12-31,32635,32635,77,151,0.0023594300597518003,0.004626934273019764,1443,I55-56,5.0,TPE,0,54502.0
Hébergement et restauration,Moins de 2 salariés,2016-12-31,349394,349394,1204,2218,0.003445966444758639,0.006348134198068656,8281,I55-56,5.0,TPE,0,54502.0
Industrie manufacturière,10 - 50 salariés,2016-12-31,23215,23215,31,55,0.0013353435278914494,0.0023691578720654747,204,C10-33,6.4,PME,0,229736.0
Industrie manufacturière,Plus de 200 salariés,2016-12-31,1950,1950,0,0,0.0,0.0,1,C10-33,6.4,GE,0,229736.0
Industrie manufacturière,50 - 200 salariés,2016-12-31,5422,5422,4,8,0.0007377351530800443,0.0014754703061600886,10,C10-33,6.4,PME,0,229736.0
Industrie manufacturière,3 - 10 salariés,2016-12-31,28257,28257,55,99,0.0019464203560179778,0.00350355664083236,591,C10-33,6.4,TPE,0,229736.0
Industrie manufacturière,Moins de 2 salariés,2016-12-31,276682,276682,690,1301,0.002493837690923154,0.004702149037523222,5578,C10-33,6.4,TPE,0,229736.0
Information et communication,10 - 50 salariés,2016-12-31,5597,5597,4,4,0.0007146685724495265,0.0007146685724495265,133,J58-63,3.8,PME,0,102020.0
Information et communication,Plus de 200 salariés,2016-12-31,481,481,0,0,0.0,0.0,1,J58-63,3.8,GE,0,102020.0
Information et communication,50 - 200 salariés,2016-12-31,1395,1395,0,0,0.0,0.0,11,J58-63,3.8,PME,0,102020.0
Information et communication,3 - 10 salariés,2016-12-31,7586,7586,4,8,0.0005272871078302136,0.0010545742156604272,279,J58-63,3.8,TPE,0,102020.0
Information et communication,Moins de 2 salariés,2016-12-31,176645,176645,233,461,0.0013190296923207563,0.0026097540264372046,8207,J58-63,3.8,TPE,0,102020.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",10 - 50 salariés,2016-12-31,1143,1143,1,1,0.0008748906386701663,0.0008748906386701663,16,E36-39,6.0,PME,0,14225.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",Plus de 200 salariés,2016-12-31,140,140,0,0,0.0,0.0,0,E36-39,6.0,GE,0,14225.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",50 - 200 salariés,2016-12-31,340,340,0,0,0.0,0.0,2,E36-39,6.0,PME,0,14225.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",3 - 10 salariés,2016-12-31,1342,1342,1,3,0.0007451564828614009,0.0022354694485842027,38,E36-39,6.0,TPE,0,14225.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",Moins de 2 salariés,2016-12-31,15117,15117,20,43,0.0013230138254944764,0.0028444797248131245,429,E36-39,6.0,TPE,0,14225.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",10 - 50 salariés,2016-12-31,124,124,0,0,0.0,0.0,1,D35,8.8,PME,0,35325.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",Plus de 200 salariés,2016-12-31,28,28,0,0,0.0,0.0,0,D35,8.8,GE,0,35325.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",50 - 200 salariés,2016-12-31,32,32,0,0,0.0,0.0,1,D35,8.8,PME,0,35325.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",3 - 10 salariés,2016-12-31,209,209,0,0,0.0,0.0,8,D35,8.8,TPE,0,35325.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",Moins de 2 salariés,2016-12-31,27945,27945,9,13,0.00032206119162640903,0.00046519949901592414,986,D35,8.8,TPE,0,35325.0
Santé humaine et action sociale,10 - 50 salariés,2016-12-31,12723,12723,7,14,0.0005501847048652047,0.0011003694097304095,144,Q86-88,3.4,PME,0,184879.0
Santé humaine et action sociale,Plus de 200 salariés,2016-12-31,2286,2286,1,1,0.0004374453193350831,0.0004374453193350831,11,Q86-88,3.4,GE,0,184879.0
Santé humaine et action sociale,50 - 200 salariés,2016-12-31,6821,6821,4,6,0.0005864242779651077,0.0008796364169476617,46,Q86-88,3.4,PME,0,184879.0
Santé humaine et action sociale,3 - 10 salariés,2016-12-31,11959,11959,11,15,0.0009198093486077431,0.0012542854753741953,265,Q86-88,3.4,TPE,0,184879.0
Santé humaine et action sociale,Moins de 2 salariés,2016-12-31,485588,485588,162,324,0.00033361615196421656,0.0006672323039284331,12054,Q86-88,3.4,TPE,0,184879.0
Transports et entreposage,10 - 50 salariés,2016-12-31,8017,8017,4,15,0.0004989397530248223,0.0018710240738430836,106,H49-53,6.3,PME,0,91887.0
Transports et entreposage,Plus de 200 salariés,2016-12-31,652,652,0,0,0.0,0.0,0,H49-53,6.3,GE,0,91887.0
Transports et entreposage,50 - 200 salariés,2016-12-31,2249,2249,0,0,0.0,0.0,16,H49-53,6.3,PME,0,91887.0
Transports et entreposage,3 - 10 salariés,2016-12-31,7933,7933,7,13,0.0008823900163872432,0.0016387243161477374,238,H49-53,6.3,TPE,0,91887.0
Transports et entreposage,Moins de 2 salariés,2016-12-31,130245,130245,340,632,0.002610464893086107,0.004852393565971822,9706,H49-53,6.3,TPE,0,91887.0
Activités de services administratifs et de soutien,10 - 50 salariés,2017-03-31,10376,10356,16,21,0.001544998068752414,0.0020278099652375433,183,N77-82,4.2,PME,0,116230.0
Activités de services administratifs et de soutien,Plus de 200 salariés,2017-03-31,856,855,0,0,0.0,0.0,1,N77-82,4.2,GE,0,116230.0
Activités de services administratifs et de soutien,50 - 200 salariés,2017-03-31,2709,2708,1,1,0.00036927621861152144,0.00036927621861152144,22,N77-82,4.2,PME,0,116230.0
Activités de services administratifs et de soutien,3 - 10 salariés,2017-03-31,19034,19019,21,34,0.001104158998895841,0.001787685998212314,355,N77-82,4.2,TPE,0,116230.0
Activités de services administratifs et de soutien,Moins de 2 salariés,2017-03-31,445244,444784,430,749,0.0009667613942947589,0.0016839634519227311,9322,N77-82,4.2,TPE,0,116230.0
Activités financières et d'assurance,10 - 50 salariés,2017-03-31,3822,3822,0,0,0.0,0.0,39,K64-66,5.8,PME,0,79388.0
Activités financières et d'assurance,Plus de 200 salariés,2017-03-31,470,470,1,1,0.002127659574468085,0.002127659574468085,0,K64-66,5.8,GE,0,79388.0
Activités financières et d'assurance,50 - 200 salariés,2017-03-31,558,558,0,0,0.0,0.0,4,K64-66,5.8,PME,0,79388.0
Activités financières et d'assurance,3 - 10 salariés,2017-03-31,12646,12642,1,2,7.910140800506249e-05,0.00015820281601012498,215,K64-66,5.8,TPE,0,79388.0
Activités financières et d'assurance,Moins de 2 salariés,2017-03-31,204595,204394,174,328,0.0008512970048044463,0.0016047437791716,4599,K64-66,5.8,TPE,0,79388.0
Activités immobilières,10 - 50 salariés,2017-03-31,2770,2770,1,1,0.00036101083032490973,0.00036101083032490973,18,L68,4.0,PME,0,163910.0
Activités immobilières,Plus de 200 salariés,2017-03-31,183,183,0,0,0.0,0.0,0,L68,4.0,GE,0,163910.0
Activités immobilières,50 - 200 salariés,2017-03-31,504,504,0,0,0.0,0.0,1,L68,4.0,PME,0,163910.0
Activités immobilières,3 - 10 salariés,2017-03-31,9734,9727,3,6,0.0003084198622391282,0.0006168397244782564,153,L68,4.0,TPE,0,163910.0
Activités immobilières,Moins de 2 salariés,2017-03-31,2179575,2179153,351,654,0.0001610717558611075,0.00030011660493779003,33521,L68,4.0,TPE,0,163910.0
"Activités spécialisées, scientifiques et techniques",10 - 50 salariés,2017-03-31,16158,16157,5,10,0.00030946339048090613,0.0006189267809618123,135,M69-75,4.8,PME,0,163910.0
"Activités spécialisées, scientifiques et techniques",Plus de 200 salariés,2017-03-31,716,715,0,0,0.0,0.0,1,M69-75,4.8,GE,0,163910.0
"Activités spécialisées, scientifiques et techniques",50 - 200 salariés,2017-03-31,2287,2287,1,1,0.00043725404459991256,0.00043725404459991256,9,M69-75,4.8,PME,0,163910.0
"Activités spécialisées, scientifiques et techniques",3 - 10 salariés,2017-03-31,31393,31370,13,31,0.0004144086707044947,0.000988205291679949,539,M69-75,4.8,TPE,0,163910.0
"Activités spécialisées, scientifiques et techniques",Moins de 2 salariés,2017-03-31,580570,579974,562,1041,0.0009690089555738705,0.0017949080476021338,21769,M69-75,4.8,TPE,0,163910.0
"Agriculture, sylviculture et pêche",10 - 50 salariés,2017-03-31,3448,3442,2,2,0.0005810575246949448,0.0005810575246949448,17,A01-03,5.9,PME,0,35433.0
"Agriculture, sylviculture et pêche",Plus de 200 salariés,2017-03-31,30,30,0,0,0.0,0.0,0,A01-03,5.9,GE,0,35433.0
"Agriculture, sylviculture et pêche",50 - 200 salariés,2017-03-31,259,259,0,1,0.0,0.003861003861003861,0,A01-03,5.9,PME,0,35433.0
"Agriculture, sylviculture et pêche",3 - 10 salariés,2017-03-31,18174,18152,6,21,0.00033054208902600263,0.0011568973115910093,123,A01-03,5.9,TPE,0,35433.0
"Agriculture, sylviculture et pêche",Moins de 2 salariés,2017-03-31,798903,798679,242,372,0.0003030003292937463,0.0004657691012284034,5981,A01-03,5.9,TPE,0,35433.0
Commerce ; réparation d'automobiles et de motocycles,10 - 50 salariés,2017-03-31,33803,33786,12,24,0.0003551767004084532,0.0007103534008169064,320,G45-47,6.3,PME,0,212947.0
Commerce ; réparation d'automobiles et de motocycles,Plus de 200 salariés,2017-03-31,1501,1501,0,0,0.0,0.0,3,G45-47,6.3,GE,0,212947.0
Commerce ; réparation d'automobiles et de motocycles,50 - 200 salariés,2017-03-31,5529,5528,2,3,0.000361794500723589,0.0005426917510853835,17,G45-47,6.3,PME,0,212947.0
Commerce ; réparation d'automobiles et de motocycles,3 - 10 salariés,2017-03-31,82794,82709,61,110,0.0007375255413558379,0.0013299640909695438,1657,G45-47,6.3,TPE,0,212947.0
Commerce ; réparation d'automobiles et de motocycles,Moins de 2 salariés,2017-03-31,1020231,1017986,1871,3358,0.0018379427614918084,0.0032986701192354315,29409,G45-47,6.3,TPE,0,212947.0
Construction,10 - 50 salariés,2017-03-31,23191,23165,26,50,0.0011223829052449817,0.002158428663932657,210,F41-43,5.3,PME,0,113137.0
Construction,Plus de 200 salariés,2017-03-31,459,459,0,0,0.0,0.0,0,F41-43,5.3,GE,0,113137.0
Construction,50 - 200 salariés,2017-03-31,2138,2138,2,2,0.0009354536950420954,0.0009354536950420954,2,F41-43,5.3,PME,0,113137.0
Construction,3 - 10 salariés,2017-03-31,49529,49442,67,118,0.001355123174628858,0.002386634844868735,1223,F41-43,5.3,TPE,0,113137.0
Construction,Moins de 2 salariés,2017-03-31,718525,716227,1977,3443,0.002760298061927294,0.0048071351680403,14574,F41-43,5.3,TPE,0,113137.0
Hébergement et restauration,10 - 50 salariés,2017-03-31,13907,13888,17,29,0.0012240783410138248,0.0020881336405529955,370,I55-56,5.0,PME,0,55485.0
Hébergement et restauration,Plus de 200 salariés,2017-03-31,177,177,0,0,0.0,0.0,1,I55-56,5.0,GE,0,55485.0
Hébergement et restauration,50 - 200 salariés,2017-03-31,1437,1437,0,1,0.0,0.0006958942240779402,15,I55-56,5.0,PME,0,55485.0
Hébergement et restauration,3 - 10 salariés,2017-03-31,33545,33466,75,115,0.002241080499611546,0.003436323432737704,1433,I55-56,5.0,TPE,0,55485.0
Hébergement et restauration,Moins de 2 salariés,2017-03-31,353302,352058,1064,1864,0.003022229291764425,0.005294582142715121,8911,I55-56,5.0,TPE,0,55485.0
Industrie manufacturière,10 - 50 salariés,2017-03-31,23444,23413,24,44,0.0010250715414513304,0.0018792978259941058,218,C10-33,6.4,PME,0,232855.0
Industrie manufacturière,Plus de 200 salariés,2017-03-31,1956,1956,0,0,0.0,0.0,5,C10-33,6.4,GE,0,232855.0
Industrie manufacturière,50 - 200 salariés,2017-03-31,5444,5440,4,9,0.0007352941176470588,0.0016544117647058823,12,C10-33,6.4,PME,0,232855.0
Industrie manufacturière,3 - 10 salariés,2017-03-31,28651,28596,45,80,0.0015736466638690725,0.0027975940691005734,497,C10-33,6.4,TPE,0,232855.0
Industrie manufacturière,Moins de 2 salariés,2017-03-31,279755,279077,630,1096,0.002257441494641264,0.003927231552582262,4944,C10-33,6.4,TPE,0,232855.0
Information et communication,10 - 50 salariés,2017-03-31,5689,5685,0,4,0.0,0.0007036059806508355,125,J58-63,3.8,PME,0,106839.0
Information et communication,Plus de 200 salariés,2017-03-31,482,482,0,0,0.0,0.0,2,J58-63,3.8,GE,0,106839.0
Information et communication,50 - 200 salariés,2017-03-31,1412,1412,0,0,0.0,0.0,9,J58-63,3.8,PME,0,106839.0
Information et communication,3 - 10 salariés,2017-03-31,7745,7741,4,8,0.000516729104766826,0.001033458209533652,230,J58-63,3.8,TPE,0,106839.0
Information et communication,Moins de 2 salariés,2017-03-31,180215,179975,234,420,0.0013001805806361994,0.002333657452423948,6708,J58-63,3.8,TPE,0,106839.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",10 - 50 salariés,2017-03-31,1168,1167,0,1,0.0,0.000856898029134533,5,E36-39,6.0,PME,0,15064.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",Plus de 200 salariés,2017-03-31,141,141,0,0,0.0,0.0,0,E36-39,6.0,GE,0,15064.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",50 - 200 salariés,2017-03-31,346,346,0,0,0.0,0.0,1,E36-39,6.0,PME,0,15064.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",3 - 10 salariés,2017-03-31,1370,1369,2,3,0.0014609203798392988,0.002191380569758948,21,E36-39,6.0,TPE,0,15064.0
"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",Moins de 2 salariés,2017-03-31,15251,15231,23,38,0.0015100781301293415,0.002494911693257173,315,E36-39,6.0,TPE,0,15064.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",10 - 50 salariés,2017-03-31,125,125,0,0,0.0,0.0,4,D35,8.8,PME,0,33148.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",Plus de 200 salariés,2017-03-31,28,28,0,0,0.0,0.0,0,D35,8.8,GE,0,33148.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",50 - 200 salariés,2017-03-31,32,32,0,0,0.0,0.0,0,D35,8.8,PME,0,33148.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",3 - 10 salariés,2017-03-31,212,212,0,0,0.0,0.0,8,D35,8.8,TPE,0,33148.0
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",Moins de 2 salariés,2017-03-31,29242,29235,4,7,0.00013682230203523174,0.00023943902856165555,735,D35,8.8,TPE,0,33148.0
Santé humaine et action sociale,10 - 50 salariés,2017-03-31,12850,12843,7,13,0.0005450439928365646,0.0010122245581250487,111,Q86-88,3.4,PME,0,188499.0
Santé humaine et action sociale,Plus de 200 salariés,2017-03-31,2295,2294,0,0,0.0,0.0,3,Q86-88,3.4,GE,0,188499.0
Santé humaine et action sociale,50 - 200 salariés,2017-03-31,6857,6853,2,2,0.00029184298847220193,0.00029184298847220193,14,Q86-88,3.4,PME,0,188499.0
Santé humaine et action sociale,3 - 10 salariés,2017-03-31,12137,12126,4,13,0.00032986970146792015,0.0010720765297707407,200,Q86-88,3.4,TPE,0,188499.0
Santé humaine et action sociale,Moins de 2 salariés,2017-03-31,491063,490907,162,293,0.0003300014055615422,0.000596854394009456,9121,Q86-88,3.4,TPE,0,188499.0
Transports et entreposage,10 - 50 salariés,2017-03-31,8112,8108,11,14,0.001356684755796744,0.001726689689195856,93,H49-53,6.3,PME,0,94738.0
Transports et entreposage,Plus de 200 salariés,2017-03-31,655,655,0,0,0.0,0.0,2,H49-53,6.3,GE,0,94738.0
Transports et entreposage,50 - 200 salariés,2017-03-31,2263,2263,0,0,0.0,0.0,16,H49-53,6.3,PME,0,94738.0
Transports et entreposage,3 - 10 salariés,2017-03-31,8096,8089,6,13,0.0007417480529113611,0.001607120781307949,202,H49-53,6.3,TPE,0,94738.0
Transports et entreposage,Moins de 2 salariés,2017-03-31,132370,132024,299,523,0.0022647397442889174,0.003961400957401684,8642,H49-53,6.3,TPE,0,94738.0
Activités de services administratifs et de soutien,10 - 50 salariés,2017-06-30,10502,10465,5,13,0.00047778308647873863,0.0012422360248447205,147,N77-82,4.2,PME,0,116230.0
Activités de services administratifs et de soutien,Plus de 200 salariés,2017-06-30,862,861,0,0,0.0,0.0,4,N77-82,4.2,GE,0,116230.0
Activités de services administratifs et de soutien,50 - 200 salariés,2017-06-30,2734,2732,1,2,0.00036603221083455345,0.0007320644216691069,20,N77-82,4.2,PME,0,116230.0
Activités de services administratifs et de soutien,3 - 10 salariés,2017-06-30,19341,19305,13,29,0.0006734006734006734,0.0015022015022015023,350,N77-82,4.2,TPE,0,116230.0
Activités de services administratifs et de soutien,Moins de 2 salariés,2017-06-30,450468,449559,327,769,0.0007273794985752705,0.0017105652428268591,8061,N77-82,4.2,TPE,0,116230.0
Activités financières et d'assurance,10 - 50 salariés,2017-06-30,3847,3847,0,1,0.0,0.0002599428125812321,42,K64-66,5.8,PME,0,79388.0
Activités financières et d'assurance,Plus de 200 salariés,2017-06-30,470,469,0,0,0.0,0.0,0,K64-66,5.8,GE,0,79388.0
Activités financières et d'assurance,50 - 200 salariés,2017-06-30,561,561,0,0,0.0,0.0,2,K64-66,5.8,PME,0,79388.0
Activités financières et d'assurance,3 - 10 salariés,2017-06-30,12808,12803,1,3,7.810669374365383e-05,0.00023432008123096148,192,K64-66,5.8,TPE,0,79388.0
Activités financières et d'assurance,Moins de 2 salariés,2017-06-30,207167,206777,161,336,0.0007786165772789044,0.001624938943886409,4337,K64-66,5.8,TPE,0,79388.0
Activités immobilières,10 - 50 salariés,2017-06-30,2783,2782,0,0,0.0,0.0,11,L68,4.0,PME,0,163910.0
Activités immobilières,Plus de 200 salariés,2017-06-30,183,183,0,0,0.0,0.0,1,L68,4.0,GE,0,163910.0
Activités immobilières,50 - 200 salariés,2017-06-30,505,505,0,1,0.0,0.0019801980198019802,2,L68,4.0,PME,0,163910.0
Activités immobilières,3 - 10 salariés,2017-06-30,9852,9841,3,8,0.000304847068387359,0.000812925515699624,147,L68,4.0,TPE,0,163910.0
Activités immobilières,Moins de 2 salariés,2017-06-30,2199722,2198941,308,700,0.0001400674233642467,0.00031833505310056067,31651,L68,4.0,TPE,0,163910.0
"Activités spécialisées, scientifiques et techniques",10 - 50 salariés,2017-06-30,16316,16310,5,13,0.00030656039239730225,0.0007970570202329859,160,M69-75,4.8,PME,0,163910.0
"Activités spécialisées, scientifiques et techniques",Plus de 200 salariés,2017-06-30,717,716,0,1,0.0,0.0013966480446927375,2,M69-75,4.8,GE,0,163910.0
"Activités spécialisées, scientifiques et techniques",50 - 200 salariés,2017-06-30,2305,2304,0,0,0.0,0.0,9,M69-75,4.8,PME,0,163910.0
"Activités spécialisées, scientifiques et techniques",3 - 10 salariés,2017-06-30,31871,31835,18,35,0.0005654154232762683,0.001099418878592744,575,M69-75,4.8,TPE,0,163910.0
"Activités spécialisées, scientifiques et techniques",Moins de 2 salariés,2017-06-30,589945,588762,482,1026,0.0008186669655990027,0.0017426396404659269,21350,M69-75,4.8,TPE,0,163910.0
"Agriculture, sylviculture et pêche",10 - 50 salariés,2017-06-30,3462,3454,0,2,0.0,0.0005790387955993051,16,A01-03,5.9,PME,0,35433.0
"Agriculture, sylviculture et pêche",Plus de 200 salariés,2017-06-30,30,30,0,0,0.0,0.0,0,A01-03,5.9,GE,0,35433.0
"Agriculture, sylviculture et pêche",50 - 200 salariés,2017-06-30,260,260,1,1,0.0038461538461538464,0.0038461538461538464,0,A01-03,5.9,PME,0,35433.0
"Agriculture, sylviculture et pêche",3 - 10 salariés,2017-06-30,18306,18278,15,24,0.0008206587153955575,0.001313053944632892,108,A01-03,5.9,TPE,0,35433.0
"Agriculture, sylviculture et pêche",Moins de 2 salariés,2017-06-30,802585,802111,134,336,0.0001670591726082799,0.0004188946417640451,4597,A01-03,5.9,TPE,0,35433.0
Commerce ; réparation d'automobiles et de motocycles,10 - 50 salariés,2017-06-30,34102,34073,12,22,0.00035218501452763184,0.0006456725266339918,249,G45-47,6.3,PME,0,212947.0
Commerce ; réparation d'automobiles et de motocycles,Plus de 200 salariés,2017-06-30,1503,1503,0,0,0.0,0.0,3,G45-47,6.3,GE,0,212947.0
Commerce ; réparation d'automobiles et de motocycles,50 - 200 salariés,2017-06-30,5548,5545,1,1,0.00018034265103697024,0.00018034265103697024,11,G45-47,6.3,PME,0,212947.0
Commerce ; réparation d'automobiles et de motocycles,3 - 10 salariés,2017-06-30,84204,84055,51,105,0.0006067455832490631,0.0012491820831598357,1515,G45-47,6.3,TPE,0,212947.0
Commerce ; réparation d'automobiles et de motocycles,Moins de 2 salariés,2017-06-30,1035948,1031666,1541,3384,0.0014937004805818937,0.003280131360343367,26128,G45-47,6.3,TPE,0,212947.0
Construction,10 - 50 salariés,2017-06-30,23420,23367,24,44,0.0010270894851713956,0.001882997389480892,186,F41-43,5.3,PME,0,113137.0
Construction,Plus de 200 salariés,2017-06-30,460,460,0,0,0.0,0.0,0,F41-43,5.3,GE,0,113137.0
Construction,50 - 200 salariés,2017-06-30,2145,2143,0,0,0.0,0.0,8,F41-43,5.3,PME,0,113137.0
